,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," the deponent herein, having first been duly sworn on oath, was examined and testified as follows: EXAMINATION",,,start_question
1,106,13,8,"Good afternoon, Mr. DiPietro.",q,MS. COLE,start_answer
2,107,13,9,Hi.,a,THE WITNESS,start_question
3,108,13,10,"My name is Sarah Cole.  Thank you for being here for your deposition today. You were present for your wife Cecilia -- I'm sorry. You were present for your wife's deposition, correct?",q,MS. COLE,start_answer
4,114,13,16,Yes.,a,THE WITNESS,start_question
5,115,13,17,And you also heard the instructions that I gave to her prior or as we started the deposition?,q,MS. COLE,start_answer
6,118,13,20,Yes.,a,THE WITNESS,start_question
7,119,13,21,"Okay.  Just in case, I'm going to go through them just briefly for you because it's been several hours since we went through them.",q,MS. COLE,start_answer
8,124,14,1,Sure.,a,THE WITNESS,start_question
9,125,14,2,"We have a court reporter here with us today and he's going to be writing down everything that's being stated in this room.  So any question I give, any response you provide, any objections that are made, everything is going to be encapsulated for all time in a book and someone might need to go back and read that transcript.  To make that process easier for that person, I want to make sure that the transcript is as clear as possible. For that to happen, I'm going to ask us to take turns speaking.  Wait for me to give my full question before you give a response. I'm also going to ask you to give your responses in the form of words as opposed to saying uh-huh, uh-uh or shaking your head. Also, if at any time you don't understand a question being posed to you, let me know.  That way I can fix it in some way or do whatever I can to make it more clear, whether it be restate it, rephrase it or change it in any way. If you give me an answer to a question without first telling me you didn't understand it, I'm going to believe that you understood the question and that the response you're giving is to that question. Okay?",q,MS. COLE,start_answer
10,158,15,10,Okay.,a,THE WITNESS,start_question
11,159,15,11,"All right.  If you need a break at any time, let me know.  As you've probably noticed, I need breaks on occasion.  I'm more than willing to take breaks at any time.",q,MS. COLE,start_answer
12,164,15,16,Okay.  Thank you.,a,THE WITNESS,start_question
13,165,15,17,"Let's get started with your full legal name, please.",q,MS. COLE,start_answer
14,167,15,19,Dean Anthony DiPietro.,a,THE WITNESS,start_question
15,168,15,20,What is your date of birth?,q,MS. COLE,start_answer
16,169,15,21,"September 9, '82.",a,THE WITNESS,start_question
17,170,15,22,What's your current address?,q,MS. COLE,start_answer
18,171,15,23,"2815 Evarts Street, D.C.",a,THE WITNESS,start_question
19,172,15,24,You live there with your wife Cecilia?,q,MS. COLE,start_answer
20,175,16,2,That's right.,a,THE WITNESS,start_question
21,176,16,3,Does she go by Ceci or Cecilia?,q,MS. COLE,start_answer
22,177,16,4,A little bit of both.,a,THE WITNESS,start_question
23,178,16,5,I've heard people call her both.,q,MS. COLE,start_answer
24,179,16,6,Ceci is a little easier.,a,THE WITNESS,start_question
25,180,16,7,Yeah.  Okay. You have lived there since June of 2016?,q,MS. COLE,start_answer
26,183,16,10,That's right.,a,THE WITNESS,start_question
27,184,16,11,And you agree with the brief summary that she provided regarding a description of your home?,q,MS. COLE,start_answer
28,187,16,14,Absolutely.,a,THE WITNESS,start_question
29,188,16,15,Are you currently employed?,q,MS. COLE,start_answer
30,189,16,16,Yes.,a,THE WITNESS,start_question
31,190,16,17,Where do you work?,q,MS. COLE,start_answer
32,191,16,18,"I work for the U.S. Green Building Council in Washington, D.C.",a,THE WITNESS,start_question
33,193,16,20,What is that?,q,MS. COLE,start_answer
34,194,16,21,"You may have seen a plaque sometimes when you go into a big office building that said LEED on it, L-E-E-D.  So we're an environmental non-profit and we do an assessment of buildings and office spaces for environmental performance and we issue a rating to those buildings.",a,THE WITNESS,start_question
35,202,17,4,Are you a government agency?,q,MS. COLE,start_answer
36,203,17,5,No.  It's a 501(c)(3).,a,THE WITNESS,start_question
37,204,17,6,Okay.  What is your title there currently?,q,MS. COLE,start_answer
38,206,17,8,Director of operations.,a,THE WITNESS,start_question
39,207,17,9,Give me a briefly summary as to your general responsibilities and tasks as the director of operations.,q,MS. COLE,start_answer
40,210,17,12,"Sure.  I oversee business operations for the certification and credentialing functions of the company.  So we issue plaques to buildings and certificates to people based on their knowledge of green building and everything that goes into the general business planning for that, so technology planning, budgeting, resource management, those sorts of things.",a,THE WITNESS,start_question
41,220,17,22,How long have you held the position of director of operations?,q,MS. COLE,start_answer
42,222,17,24,"I mean I've been doing this sort of work for a long time.  I think I got the director title in early 2016, but I would have to check the records to be sure.",a,THE WITNESS,start_question
43,227,18,4,Definitely before October 1st of 2016?,q,MS. COLE,start_answer
44,229,18,6,Yes.,a,THE WITNESS,start_question
45,230,18,7,"Who do you report to?  What's the title, not necessarily the name, but do you report to somebody else?",q,MS. COLE,start_answer
46,233,18,10,The senior vice president of certification and credentialing.,a,THE WITNESS,start_question
47,235,18,12,Who is your boss?,q,MS. COLE,start_answer
48,236,18,13,The Vice President of Engineering.,a,THE WITNESS,start_question
49,237,18,14,Do you report to work at an office?,q,MS. COLE,start_answer
50,238,18,15,Yes.,a,THE WITNESS,start_question
51,239,18,16,Do you report to work at an office every day?,q,MS. COLE,start_answer
52,241,18,18,Yes.,a,THE WITNESS,start_question
53,242,18,19,And is that office somewhere off site from your home?,q,MS. COLE,start_answer
54,244,18,21,Yes.  Yeah.,a,THE WITNESS,start_question
55,245,18,22,What are your general work hours?,q,MS. COLE,start_answer
56,246,18,23,"About the same as Ceci, so maybe 9:30 to 6:00 Monday through Friday.",a,THE WITNESS,start_question
57,249,19,1,And that would be in D.C.?,q,MS. COLE,start_answer
58,250,19,2,"In D.C., yeah.  21st and L.",a,THE WITNESS,start_question
59,251,19,3,Give me a brief summary of your educational background.,q,MS. COLE,start_answer
60,253,19,5,"Sure.  So college, undergrad at St. Mary's College, I graduated in 2005, and then grad school at University of Maryland, got my M.B.A. in 2010.  And that was a two-year part-time program.",a,THE WITNESS,start_question
61,258,19,10,Is that in College Park?,q,MS. COLE,start_answer
62,259,19,11,"Well, they actually have three campuses.  There's one in College Park, one in downtown D.C. and one in like Shady Grove, but I only really took classes at the downtown D.C. location.",a,THE WITNESS,start_question
63,264,19,16,"Oh, okay.  So they have a downtown D.C. location?",q,MS. COLE,start_answer
64,266,19,18,It's just for the business school in the Reagan Center at 14th and E.  They have like the whole basement there is they have four classrooms and a lecture hall for the business school.,a,THE WITNESS,start_question
65,271,19,23,That's a two-year program you said?,q,MS. COLE,start_answer
66,272,19,24,"That's correct.  You don't have to do it in two years.  You don't have to get the credits.  You can stretch it out longer if you need to, but normally you can get it done in two years because it's a part-time program in the evenings.",a,THE WITNESS,start_question
67,279,20,6,"What position did you hold immediately prior to -- well, let me strike that. When you began working in January of 2016, were you working as director of operations?",q,MS. COLE,start_answer
68,285,20,12,When I began working in January of 2016?,a,THE WITNESS,start_question
69,287,20,14,"Let me back up. For the employer that you currently have, did you start working there in January or early 2016?",q,MS. COLE,start_answer
70,291,20,18,No.  And perhaps I could just give you a quick summary of my work history.,a,THE WITNESS,start_question
71,293,20,20,Yes.,q,MS. COLE,start_answer
72,294,20,21,Yes. I was hired at the U.S. Green Building Council in 2006.,a,THE WITNESS,is brackets
