,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," the deponent herein, having first been duly sworn on oath, was examined and testified as follows: EXAMINATION",,,start_question
1,70,5,7,"Hello, Ms. Dixon.",q,MR. NOLTE,start_answer
2,71,5,8,Hello.,a,THE WITNESS,start_chat
3,72,5,9,Can you hear okay?,side_chat,MR. RAHIAM,start_chat
4,73,5,10,I'm sorry?,side_chat,THE WITNESS,start_chat
5,74,5,11,Can you hear okay?,side_chat,MR. RAHAIM,start_chat
6,75,5,12,Yes.,side_chat,THE WITNESS,start_chat
7,76,5,13,Okay.,side_chat,MR. RAHAIM,start_question
8,78,5,15,"Ms. Dixon, my name is Stokes Nolte. I'm an attorney in Wilmington, Delaware and I am representing Mr. Chen in the lawsuit that was filed on your behalf here in Delaware. Ma'am, can you state your full name and tell me where you live?",q,MR. NOLTE,start_answer
9,85,5,22,"Jacqueline Dixon.  I live at 231 Mount Pleasant Avenue here in Newark, New Jersey.",a,THE WITNESS,start_question
10,89,6,1,"Ma'am, can you tell us your date of birth and your occupation?",q,MR. NOLTE,start_answer
11,91,6,3,My my date of birth is 9-16-60. I'm a clerk.,a,THE WITNESS,start_question
12,93,6,5,"And then the next question, ma'am, is where are you a clerk?",q,MR. NOLTE,start_answer
13,95,6,7,At the USPS.,a,THE WITNESS,start_question
14,96,6,8,And what location?,q,MR. NOLTE,start_answer
15,97,6,9,"It's Belleville, New Jersey.",a,THE WITNESS,start_question
16,98,6,10,Thank you. Who lives with you at your address?,q,MR. NOLTE,start_answer
17,101,6,13,"Myself, my husband and my son.",a,THE WITNESS,start_question
18,102,6,14,"As you know, we're doing this deposition over the phone which is a little bit unusual.  So I need to ask you just a few questions about where you're currently located and who might be present with you in your location. So are you at home?",q,MR. NOLTE,start_answer
19,109,6,21,"No, I'm not.",a,THE WITNESS,start_question
20,110,6,22,Where are you?,q,MR. NOLTE,start_answer
21,111,6,23,I'm in the parking lot at my job.,a,THE WITNESS,start_question
22,112,6,24,Okay.  So today is a workday for you?,q,MR. NOLTE,start_answer
23,115,7,2,"Yes, it is.",a,THE WITNESS,start_question
24,116,7,3,And you are on your cell phone in the car?,q,MR. NOLTE,start_answer
25,118,7,5,"Yes, I am.",a,THE WITNESS,start_question
26,119,7,6,Is there anyone present with you in the car?,q,MR. NOLTE,start_answer
27,121,7,8,"No, sir.",a,THE WITNESS,start_question
28,122,7,9,"Ma'am, have you ever been deposed before?",q,MR. NOLTE,start_answer
29,124,7,11,No.,a,THE WITNESS,start_question
30,125,7,12,"Just a brief statement about this deposition.  The court reporter put you under oath and that would be the same oath that would be given to you if you were going to testify in a courtroom and, therefore, you're under the same requirements to tell the truth and to be under the same restrictions and obligations that a judge would put on you if he were to administer the oath. Do you understand that?",q,MR. NOLTE,start_answer
31,136,7,23,"Yes, sir.",a,THE WITNESS,start_question
32,137,7,24,"And before we started, before I started asking you questions, the court reporter asked you about making sure we try not to talk over each other.  Since you've not had your deposition taken before, there are a couple of other rules that can be very helpful and I just want to talk to you about them for just a minute. The first rule would be, ma'am, please don't guess at any of the questions that I ask you.  If I ask you a question and you don't know, providing the answer that you don't know is a perfectly acceptable response to the question. There may be some times that I might ask you to estimate something in terms of the number of feet between your car and Mr. Chen's car, something along those lines.  And in that instance, I will specifically ask that you estimate, but otherwise please don't guess at a response. Is that agreeable?",q,MR. NOLTE,start_answer
33,160,8,22,It's agreeable.,a,THE WITNESS,start_question
34,161,8,23,"Thank you. The other rule is that we're really just getting your knowledge. Sometimes it's human nature if you suddenly can't remember a particular date or a particular color or something of that nature that you want to ask someone else who might know the answer, but in this instance we really want to limit your responses to your own knowledge. Is that agreeable?",q,MR. NOLTE,start_answer
35,173,9,10,It's agreeable.,a,THE WITNESS,start_question
36,174,9,11,"Thank you. The next rule is if I ask a question and you're not sure that you heard the question correctly or you didn't understand the question, please ask me to repeat it and I'm happy to restate it so that when you give an answer we know that you're attempting to answer the question that I ask. When we get the transcript of this deposition back and we read my question and we read your answer, we have no way of knowing whether or not there was any confusion on your part so we have to assume that you were answering the question. So for any reason if you want me to repeat or rephrase the question, I'm happy to do that. Okay?",q,MR. NOLTE,start_answer
37,195,10,7,All right.,a,THE WITNESS,start_question
38,196,10,8,"Lastly, ma'am, is there any reason that you know of that would prevent you from being able to proceed with this deposition? For example, are you on any medication or under any conditions that would prevent you from going forward today?",q,MR. NOLTE,start_answer
39,203,10,15,"No, sir.",a,THE WITNESS,start_question
40,204,10,16,"Okay.  Great. Let's start with the date of this accident, August 19, 2017.  You were the driver of your vehicle.  Is that correct?",q,MR. NOLTE,start_answer
41,209,10,21,Correct.,a,THE WITNESS,start_question
