,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," JOAQUIN ALTENBERG, the witness herein, having first been duly sworn on oath, was examined and testified as follows:",,,start_question
1,107,8,13,"Joaquin, we've been through this a few times.  I'll go through the instructions just because I normally do at the beginning. If your lawyer makes an objection, just stop talking.  Let the objection be made.  She and I will talk and then you'll be instructed one way or the other. If you want to take a break at any time, let me know.  It's not going to be a problem, we'll stop.  We'll take a break. If you don't understand a question that I ask, just tell me you don't understand.  I'll rephrase it. If you give me an answer, I'll assume you heard the question, you understand it and you're giving me the best, most truthful possible answer. Do you understand those instructions?",q,MR. LIEBESMAN,start_answer
2,128,9,9,Yes.,a,THE WITNESS,start_question
3,129,9,10,"Just remember, too, the court reporter sitting in between us is taking everything we say verbatim, so I'd ask that you let me finish a question before you answer and also respond verbally as opposed to a shaking or nodding of the head.  Okay?",q,MR. LIEBESMAN,start_answer
4,135,9,16,Yes.,a,THE WITNESS,start_question
5,136,9,17,Are you aware that there was a hearing on July 23rd here in the Chancery Court concerning the last deposition that we took of you on June 21 in Houston?,q,MR. LIEBESMAN,start_answer
6,140,9,21,Yes.,a,THE WITNESS,start_question
7,141,9,22,You understand that it related to instructions and refusals not to answer certain questions?,q,MR. LIEBESMAN,start_answer
8,145,10,1,Yes.,a,THE WITNESS,start_question
9,146,10,2,Did you read the transcript of that hearing?,q,MR. LIEBESMAN,start_answer
10,148,10,4,No.,a,THE WITNESS,start_question
11,149,10,5,So the oath that was given to you at the beginning of this deposition has the same weight as one that would be given in a court of law.  It has the same obligation to tell the truth here today as if we were sitting in a court of law.  Do you understand that?,q,MR. LIEBESMAN,start_answer
12,156,10,12,Yes.,a,THE WITNESS,start_question
13,157,10,13,"Now, is there still no operating agreement for Clean Energy?",q,MR. LIEBESMAN,start_answer
14,159,10,15,"Correct, there is none.",a,THE WITNESS,start_question
15,160,10,16,How many employees as we sit here today?,q,MR. LIEBESMAN,start_answer
16,162,10,18,Two.,a,THE WITNESS,start_question
17,163,10,19,You and Daniel Gonzalez?,q,MR. LIEBESMAN,start_answer
18,164,10,20,Yes.,a,THE WITNESS,start_question
19,165,10,21,Any plans to hire any new employees?,q,MR. LIEBESMAN,start_answer
20,166,10,22,Yes.,a,THE WITNESS,start_question
21,167,10,23,What are those plans?,q,MR. LIEBESMAN,start_answer
22,168,10,24,"We want to grow the business, so we'll obviously have to hire people.",a,THE WITNESS,start_question
23,171,11,2,Are there imminent plans to hire a technical person or is it just --,q,MR. LIEBESMAN,start_answer
24,173,11,4,"Oh, no, no.  We have nobody specific in mind right now.",a,THE WITNESS,start_question
25,175,11,6,"You formed Clean Energy Nexus, LLC; correct?",q,MR. LIEBESMAN,start_answer
26,177,11,8,Yes.,a,THE WITNESS,start_question
27,178,11,9,Did you also at any time form any other entities with the name Clean Energy in it?,q,MR. LIEBESMAN,start_answer
28,181,11,12,"I don't think so, no.  Oh.  Well, no, not legally.",a,THE WITNESS,start_question
29,183,11,14,"Okay.  So when you say not ""legally,"" what are you referring to?",q,MR. LIEBESMAN,start_answer
30,185,11,16,"Like originally, I formed Clean Energy Nexus and misspelled it.  And so I got the URL for N-E-X-I-S instead of N-E-X-U-S.  So I have the URL for Clean Energy N-E-X-I-S and, obviously, N-E-X-U-S, but that wasn't a legal formation.",a,THE WITNESS,start_question
31,191,11,22,I've seen references to a Clean Energy Ventures.  Is that a separate entity that you formed?,q,MR. LIEBESMAN,start_answer
32,195,12,1,No.,a,THE WITNESS,start_question
33,196,12,2,Is VERT Investment Group still the sole owner of Clean Energy?,q,MR. LIEBESMAN,start_answer
34,198,12,4,Yes.,a,THE WITNESS,start_question
35,199,12,5,And you're the sole owner of VERT Investment Group?,q,MR. LIEBESMAN,start_answer
36,201,12,7,Yes.,a,THE WITNESS,start_question
37,202,12,8,"Has -- so we've received unredacted copies of bank statements of Clean Energy. Just so the record is clear.  When I say ""Clean Energy"" or ""CEN,"" I'm referring to Clean Energy Nexus, LLC.  Okay?  Just so you understand when I say ""Clean Energy"" or ""CEN,"" that's the entity I'm referring to.",q,MR. LIEBESMAN,start_answer
38,209,12,15,Yes.  Understood.,a,THE WITNESS,start_question
39,210,12,16,Did VERT Investment Group pay -- does that entity pay any money into CEN?,q,MR. LIEBESMAN,start_answer
40,212,12,18,"Yes.  They formed it, spent that capital to initially set it up and supported the operations.",a,THE WITNESS,start_question
41,215,12,21,How much capital did VERT Investment Group pay into CEN?,q,MR. LIEBESMAN,start_answer
42,217,12,23,I don't know.,a,THE WITNESS,start_question
43,218,12,24,Can you approximate how much?,q,MR. LIEBESMAN,start_answer
44,220,13,1,Not really.,a,THE WITNESS,start_question
45,221,13,2,"Are we talking hundreds, thousands, tens of thousands or more?",q,MR. LIEBESMAN,start_answer
46,223,13,4,"We're talking maybe thousands, not --",a,THE WITNESS,start_question
47,225,13,6,Okay.  There was discussion that when the -- that there was originally a hundred dollars put into CEN.,q,MR. LIEBESMAN,start_answer
48,228,13,9,Yes.,a,THE WITNESS,start_question
49,229,13,10,Who or what entity paid that hundred dollars?,q,MR. LIEBESMAN,start_answer
50,231,13,12,"I did in cash, went to the bank and deposited a hundred dollars.",a,THE WITNESS,start_question
51,233,13,14,"The money that cam into CEN from VERT Investment Group, how was that money brought in?  Was it a check, a wire transfer into CEN's bank account or was it handled some other way?",q,MR. LIEBESMAN,start_answer
52,238,13,19,"It was really just paying expenses for the company until the checking account got formed and then -- and then if money came in, it was wired into the checking account for the company.",a,THE WITNESS,start_question
53,243,13,24,So the bank account was opened with Bank of America for CEN in January of 2019; correct?,q,MR. LIEBESMAN,start_answer
54,247,14,3,That sounds right.,a,THE WITNESS,start_question
55,248,14,4,"All right.  So when you say VERT Investment Group was paying expenses, you said up to the point where the bank account was formed for CEN?",q,MR. LIEBESMAN,start_answer
56,252,14,8,Correct.,a,THE WITNESS,start_question
57,253,14,9,Are those expenses memorialized anywhere?,q,MR. LIEBESMAN,start_answer
58,255,14,11,Not yet.,a,THE WITNESS,start_question
59,256,14,12,VERT Investment Group has its own bank account; correct?,q,MR. LIEBESMAN,start_answer
60,258,14,14,Yes.,a,THE WITNESS,start_question
61,259,14,15,With which bank?,q,MR. LIEBESMAN,start_answer
62,260,14,16,Chase.,a,THE WITNESS,start_question
63,261,14,17,Do you get bank statements for VERT Investment Group?,q,MR. LIEBESMAN,start_answer
64,263,14,19,"Yes, we do.",a,THE WITNESS,start_question
65,264,14,20,Why is it that VERT Investment Group paid the expenses for CEN?,q,MR. LIEBESMAN,start_answer
66,266,14,22,To start the company.,a,THE WITNESS,start_question
67,267,14,23,"Since the bank account was opened for CEN, has VERT Investment Group paid any expenses for CEN?",q,MR. LIEBESMAN,start_answer
68,271,15,2,"I am sure, yeah.",a,THE WITNESS,start_question
69,272,15,3,"And when the expenses were paid by VERT Investment Group, were they done by writing a check and/or using a wire transfer and/or like a check card that you may have, like you get at --",q,MR. LIEBESMAN,start_answer
70,277,15,8,Yes.,a,THE WITNESS,start_question
71,278,15,9,All three or did you not write checks?  Was it mostly --,q,MR. LIEBESMAN,start_answer
72,280,15,11,I don't write checks.,a,THE WITNESS,start_question
73,281,15,12,So it was mostly money transfers and then using a check card?,q,MR. LIEBESMAN,start_answer
74,283,15,14,Yes.,a,THE WITNESS,start_question
75,284,15,15,Did you personally pay any expenses of CEN at any time?,q,MR. LIEBESMAN,start_answer
76,286,15,17,Yes.,a,THE WITNESS,start_question
77,287,15,18,Can you give me an example of what expenses you personally paid for?,q,MR. LIEBESMAN,start_answer
78,289,15,20,"Telephone, rent.  You know, all kinds of registrations that we have on the Internet, URL, website, email services. Things like that.",a,THE WITNESS,start_question
79,293,15,24,Were there expenses for CEN that -- strike that. So you personally paid expenses for CEN and VERT Investment Group paid expenses for CEN.  Was there some process in your mind that dictated which would be paid by you personally and which would be paid by VERT Investment Group?,q,MR. LIEBESMAN,start_answer
80,302,16,8,"No, I don't -- not a process, per se.  It's sort of whatever account had the money to keep the business going.",a,THE WITNESS,start_question
81,305,16,11,And were there any other bank accounts that were used to pay CEN expenses like prior to VERT Solar Finance filing bankruptcy?  Did VERT Solar Finance pay any expenses that related to CEN?,q,MR. LIEBESMAN,start_answer
82,310,16,16,No.,a,THE WITNESS,start_question
83,311,16,17,Were there ever any transfers of money from CEN to VERT Investment Group?,q,MR. LIEBESMAN,start_answer
84,313,16,19,I don't know.,a,THE WITNESS,start_question
85,314,16,20,Were there ever any transfers of money from CEN to you personally?,q,MR. LIEBESMAN,start_answer
86,316,16,22,Yes.,a,THE WITNESS,start_question
87,317,16,23,"How many transfers of money have there been from CEN to you personally, approximately?",q,MR. LIEBESMAN,start_answer
88,321,17,2,Probably about five.,a,THE WITNESS,start_question
89,322,17,3,Were there ever any transfers of money from CEN to any immediate family member of yours?,q,MR. LIEBESMAN,start_answer
90,325,17,6,Yes.,a,THE WITNESS,start_question
