,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, and testified as follows:,,,symbols
1,74,13,4,------ EXAMINATION,symbols,,symbols
2,76,13,6,------,symbols,,start_question
3,78,13,8,"Sir, what is your full name?",q,MR. HEDRICK,start_answer
4,79,13,9,Robert Brian McCleary.,a,THE WITNESS,start_question
5,80,13,10,How do you spell your last name?,q,MR. HEDRICK,start_answer
6,81,13,11,M-c-C-L-E-A-R-Y.,a,THE WITNESS,start_question
7,82,13,12,I apologize that we're starting late.  I appreciate you sticking around a bit.,q,MR. HEDRICK,start_answer
8,85,13,15,It's okay.,a,THE WITNESS,start_question
9,86,13,16,"Sir, have you been deposed before?",q,MR. HEDRICK,start_answer
10,87,13,17,No.,a,THE WITNESS,start_question
11,88,13,18,"I'm just going to go through some quick guidelines that will help speed the process along, but again, I don't think we're going to be here that long based upon what Mr. McTaggart told me. First of all, your responses have to be verbal, yes, no, give an explanation.  You can't nod your head or say uh-huh or uh-uh, because they read the same on the transcript.  If I ask you if it's a yes or no, I'm not picking on you. I just want to make sure the record is clear.  Okay?",q,MR. HEDRICK,start_answer
12,102,14,7,Yes.,a,THE WITNESS,start_question
13,103,14,8,"You need to wait for me to finish my question before you give an answer, and I'll do my best not to interrupt you, because the court reporter cannot take down more than one person at a time.",q,MR. HEDRICK,start_answer
14,108,14,13,Okay.,a,THE WITNESS,start_question
15,109,14,14,"Lastly, if you don't understand the question, let me know.  If you answer a question, I'm going to assume you understood it, unless you tell me otherwise. Is that fair?",q,MR. HEDRICK,start_answer
16,115,14,20,Yes.,a,THE WITNESS,start_question
17,116,14,21,"Now, to shortcut things, am I correct that you don't know anything about the Dover Toll Plaza?",q,MR. HEDRICK,start_answer
18,119,14,24,The Dover Toll Plaza?,a,THE WITNESS,start_question
19,121,15,1,Yes.,q,MR. HEDRICK,start_answer
20,122,15,2,"Um, I know things about the Dover Toll Plaza.",a,THE WITNESS,start_question
21,124,15,4,"Okay.  Well, then, maybe it's not going to be as clear-cut as I thought it was going to be.",q,MR. HEDRICK,start_answer
22,127,15,7,The Dover Toll Plaza on State Route 1?,a,THE WITNESS,start_question
23,129,15,9,Yes.,q,MR. HEDRICK,start_answer
24,130,15,10,Okay.  I was under the impression this was about the Delaware Memorial Bridge.,a,THE WITNESS,start_question
25,133,15,13,There are two cases that your deposition has been noticed in.  One involves the Delaware Memorial Bridge and the other involves the Dover Toll Plaza.,q,MR. HEDRICK,start_answer
26,137,15,17,Okay.,a,THE WITNESS,start_question
27,138,15,18,"I was trying to get away from the Dover Toll Plaza if you didn't know anything about it, but it does sound like you do.  So, I'm going to have to ask you questions about it.",q,MR. HEDRICK,start_answer
28,143,15,23,That's fine.,a,THE WITNESS,start_question
29,144,15,24,"If you don't know, though, please tell me you don't know and that will help move things along.  Okay?",q,MR. HEDRICK,start_answer
30,148,16,3,Okay. MR. McTAGGART:  Could I just ask a question?,a,THE WITNESS,start_chat
31,151,16,6,Sure. MR. McTAGGART,side_chat,MR. HEDRICK,start_chat
32,155,16,10,Correct. MR. McTAGGART,side_chat,MR. HEDRICK,start_chat
33,158,16,13,That's correct. MR. McTAGGART,side_chat,MR. HEDRICK,start_chat
34,161,16,16,"Correct, and it's not going to be any different than I did with Miss Lawhead, but I just wanted to skip the Dover Toll Plaza.  But, it doesn't sound like I can do that. MR. McTAGGART",side_chat,MR. HEDRICK,start_chat
35,169,16,24,Okay.  I'm not there yet. MR. McTAGGART,side_chat,MR. HEDRICK,start_chat
36,174,17,4,"I understand, thanks.  I appreciated it.  I know I need it.",side_chat,MR. HEDRICK,start_question
37,178,17,8,"With respect to the Dover Toll Plaza, do you have anything to do with procurement of insurance policies?",q,MR. HEDRICK,start_answer
38,181,17,11,No.,a,THE WITNESS,start_question
