,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," Massachusetts Driver's License and duly sworn by the Notary Public, was examined and testified as follows: EXAMINATION CONDUCTED",,,start_question
1,114,4,12,"Good morning.  My name is Mallarie Charbonneau, as I've already said.",q,MS. CHARBONNEAU,start_chat
2,116,4,14,"Just to get it on the record, usual stipulations?",side_chat,MS. CHARBONNEAU,start_chat
3,118,4,16,Yes.,side_chat,MR. KATSARAS,start_chat
4,119,4,17,"So all objections, except to form, will be waived until trial, including motions to strike.  The witness will have 30 days upon reading the transcript to sign the transcript.  And notary waived.",side_chat,MS. CHARBONNEAU,start_question
5,124,4,22,So could you please state your name and date of birth for the record?,q,MS. CHARBONNEAU,start_answer
6,126,4,24,"Robert Peabody, 8/21/71.",a,THE WITNESS,start_question
7,128,5,1,All right.  And have you ever been deposed before?,q,MS. CHARBONNEAU,start_answer
8,130,5,3,What?,a,THE WITNESS,start_question
9,131,5,4,Have you ever been deposed before?,q,MS. CHARBONNEAU,start_answer
10,132,5,5,No.,a,THE WITNESS,start_question
11,133,5,6,"Okay.  I'm just going to go over a couple of quick rules so you understand a little bit more how this process works.  So the first and foremost, it's important to answer audibly.  She is taking down everything we say for the record, so things like uh-huhs and uh-uh, shoulder shrugs aren't going to come across clear.  So if you do use those answers, I might gently remind you just to get a verbal record of what your response is.",q,MS. CHARBONNEAU,start_answer
12,143,5,16,Okay.,a,THE WITNESS,start_question
13,144,5,17,"And because she's typing, it's really hard for her to do that when we're speaking over each other.  If you could just wait until I'm finished asking the questioning, so that way she gets everything down correctly. If you don't understand a question, please let me know.  I'm happy to clarify and make sure that you're clear.  Please don't guess when you're answering.  If you don't know or you can't remember, just let us know.  And at the end of this or at some point at the end of this deposition you will be given a transcript, and you'll be able to review that and make any notes, if you think something is misstated, in an errata sheet at the end.  And then you'll be asked to sign and get that back to us within 30 days of receipt.",q,MS. CHARBONNEAU,start_answer
14,162,6,10,Okay.,a,THE WITNESS,start_question
15,163,6,11,Could you please state your current address?,q,MS. CHARBONNEAU,start_answer
16,165,6,13,My home or my work?,a,THE WITNESS,start_question
17,166,6,14,"Your work, please?",q,MS. CHARBONNEAU,start_answer
18,167,6,15,"90 Hampshire Street, Methuen, Mass.",a,THE WITNESS,start_question
19,168,6,16,Are you married?,q,MS. CHARBONNEAU,start_answer
20,169,6,17,Yes.,a,THE WITNESS,start_question
21,170,6,18,Any kids?,q,MS. CHARBONNEAU,start_answer
22,171,6,19,Yes.,a,THE WITNESS,start_question
23,172,6,20,How many?,q,MS. CHARBONNEAU,start_answer
24,173,6,21,"I have one that's my son, and I have two stepsons and a stepdaughter.",a,THE WITNESS,start_question
25,175,6,23,"And just to get a brief educational background, did you finish high school?",q,MS. CHARBONNEAU,start_answer
26,178,7,1,Yes.,a,THE WITNESS,start_question
27,179,7,2,And did you have any postsecondary education?,q,MS. CHARBONNEAU,start_answer
28,181,7,4,I just had some college.,a,THE WITNESS,start_question
29,182,7,5,"Okay.  About a semester, more than a semester?",q,MS. CHARBONNEAU,start_answer
30,184,7,7,More.,a,THE WITNESS,start_question
31,185,7,8,Okay.  Did you get an associate's degree?,q,MS. CHARBONNEAU,start_answer
32,187,7,10,No.,a,THE WITNESS,start_question
33,188,7,11,Just some classes.  Did you spend any time in the military?,q,MS. CHARBONNEAU,start_answer
34,190,7,13,Yes.,a,THE WITNESS,start_question
35,191,7,14,"We appreciate your service.  Are you part of any labor unions, any trade groups?",q,MS. CHARBONNEAU,start_answer
36,193,7,16,Just the police union.,a,THE WITNESS,start_question
37,194,7,17,Okay.  And where are you currently employed?,q,MS. CHARBONNEAU,start_answer
38,196,7,19,City of Methuen.,a,THE WITNESS,start_question
39,197,7,20,And for how long?,q,MS. CHARBONNEAU,start_answer
40,198,7,21,"Eight years, almost nine years.",a,THE WITNESS,start_question
41,199,7,22,And what is your position there?,q,MS. CHARBONNEAU,start_answer
42,200,7,23,Police officer.,a,THE WITNESS,start_question
43,201,7,24,And what is just a brief description of your duties there?,q,MS. CHARBONNEAU,start_answer
44,204,8,2,To protect and serve the community and patrol the areas.,a,THE WITNESS,start_question
45,206,8,4,Do you have any prior positions with the state of -- with Methuen?,q,MS. CHARBONNEAU,start_answer
46,208,8,6,No.,a,THE WITNESS,start_question
47,209,8,7,Were you aware of this lawsuit before receiving --,q,MS. CHARBONNEAU,start_answer
48,211,8,9,No.,a,THE WITNESS,start_question
49,212,8,10,-- this notice?  Were you aware of the underlining facts from which it comes?,q,MS. CHARBONNEAU,start_answer
50,214,8,12,"Well, I am aware of it.",a,THE WITNESS,start_question
51,215,8,13,"Okay.  Did you know the plaintiff in this action, Daniel Kelley, at all?",q,MS. CHARBONNEAU,start_answer
52,217,8,15,Just when I went to the call.,a,THE WITNESS,start_question
53,218,8,16,Did you do anything to prepare for this deposition?,q,MS. CHARBONNEAU,start_answer
54,220,8,18,No.,a,THE WITNESS,start_question
55,221,8,19,And did you speak with Daniel Kelley any time before the accident and after the accident?,q,MS. CHARBONNEAU,start_answer
56,224,8,22,"Just during, just when I went to the call.",a,THE WITNESS,start_question
57,226,8,24,"Okay.  Do you remember responding to an incident at DeLucca Fence Company on September 19, 2017?",q,MS. CHARBONNEAU,start_answer
58,230,9,3,Yes.,a,THE WITNESS,start_question
59,231,9,4,When were you made aware of that incident?,q,MS. CHARBONNEAU,start_answer
60,233,9,6,What do you mean as far as when?  I don't remember exact time.,a,THE WITNESS,start_question
61,235,9,8,Do you remember the time of day?,q,MS. CHARBONNEAU,start_answer
62,236,9,9,It was during the daytime.,a,THE WITNESS,start_question
63,237,9,10,Would you say before noon?,q,MS. CHARBONNEAU,start_answer
64,238,9,11,"I'm not sure.  I mean, I had my report, but, like I said, I was involved in an accident.  My report was in my truck.",a,THE WITNESS,start_question
65,241,9,14,Okay.,q,MS. CHARBONNEAU,start_answer
66,242,9,15,I can get it faxed if you need me to do that.,a,THE WITNESS,start_question
67,244,9,17,"Okay.  I actually have a copy here. We'll go over it.  Actually, I'll do that now. Do you recognize the title of this report, Methuen Police Department?",q,MS. CHARBONNEAU,start_answer
68,248,9,21,Yes.,a,THE WITNESS,start_question
69,249,9,22,And then I'm going to direct you to the second to last page.  Is that your name listed as the reporting officer?,q,MS. CHARBONNEAU,start_answer
70,253,10,1,"Yes, it is.",a,THE WITNESS,start_chat
71,254,10,2,I'll mark that as Exhibit 1.,side_chat,MS. CHARBONNEAU,is brackets
72,256,10,4,"(Exhibit No. 1, Police Report so marked)",brackets,,start_question
73,258,10,6,"If you look at that second to last page, again, the second paragraph says you were alerted at about 10:24 hours in the morning. Do you remember that to be correct?",q,MS. CHARBONNEAU,start_answer
74,262,10,10,Correct.,a,THE WITNESS,start_question
75,263,10,11,So do you recall about what time you arrived on the scene?,q,MS. CHARBONNEAU,start_answer
76,265,10,13,Within minutes.,a,THE WITNESS,start_question
77,266,10,14,Okay.,q,MS. CHARBONNEAU,start_answer
78,267,10,15,Within minutes I was right down the street.,a,THE WITNESS,start_question
79,269,10,17,Did anyone else arrive with you?,q,MS. CHARBONNEAU,start_answer
80,270,10,18,Later my supervisor arrived on scene and Methuen Fire.,a,THE WITNESS,start_question
81,272,10,20,What's his name?,q,MS. CHARBONNEAU,start_answer
82,273,10,21,"Sergeant DeLano, Sergeant John DeLano.",a,THE WITNESS,start_question
83,274,10,22,And about how long after you arrived did he arrive?,q,MS. CHARBONNEAU,start_answer
84,276,10,24,"Probably 15, 20 minutes.",a,THE WITNESS,start_question
85,278,11,1,Did anyone else arrive on the scene?,q,MS. CHARBONNEAU,start_answer
86,279,11,2,Methuen Fire.,a,THE WITNESS,start_question
87,280,11,3,And what did you observe when you got to the scene?,q,MS. CHARBONNEAU,start_answer
88,282,11,5,I observed -- I forgot his name --,a,THE WITNESS,start_question
89,283,11,6,Mr. Kelley?,q,MS. CHARBONNEAU,start_answer
90,284,11,7,"-- Mr. Kelley laying inside of a dumpster.  I told him not to move, you know, because of possible injury, and I didn't want to harm him any more.  When we do that, it's typically we let the fire department so that way we don't harm them, you know, cause him any more physical harm.",a,THE WITNESS,start_question
91,291,11,14,Did you speak to him at all other than that?,q,MS. CHARBONNEAU,start_answer
92,293,11,16,Yes.,a,THE WITNESS,start_question
93,294,11,17,What did you say?,q,MS. CHARBONNEAU,start_answer
94,295,11,18,"I asked him what happened, and I remember him saying that he was dropping off an empty dumpster and picking up a full dumpster. He said once he dropped off the empty dumpster, he stood on top of the dumpster, the side, and was pushing material down so he could pull the dumpster away.  And he said that he slipped and fell into the empty dumpster.",a,THE WITNESS,start_question
95,304,12,2,Okay.  I'll have you take a look at this.  Do you recall this scene when you arrived?,q,MS. CHARBONNEAU,start_answer
96,307,12,5,Yes.,a,THE WITNESS,start_question
97,308,12,6,Okay.  And are these the two dumpsters you were talking about?,q,MS. CHARBONNEAU,start_answer
98,310,12,8,Correct.,a,THE WITNESS,start_chat
99,311,12,9,We're going to mark this as Exhibit 2.,side_chat,MS. CHARBONNEAU,is brackets
100,313,12,11,"(Exhibit No. 2, Photocopy of Photograph so marked)",brackets,,start_question
101,315,12,13,Was the ambulance there when you arrived?,q,MS. CHARBONNEAU,start_answer
102,317,12,15,"No, I was there first.",a,THE WITNESS,start_question
103,318,12,16,Okay.  The ambulance arrived sometime after?,q,MS. CHARBONNEAU,start_answer
104,320,12,18,Correct.,a,THE WITNESS,start_question
105,321,12,19,"About how long after, would you say?",q,MS. CHARBONNEAU,start_answer
106,322,12,20,Five minutes.,a,THE WITNESS,start_question
107,323,12,21,"And so the dumpster to the right with the Crescio label, is that where Mr. Kelley was found?",q,MS. CHARBONNEAU,start_answer
108,326,12,24,Correct.,a,THE WITNESS,start_question
109,328,13,1,"By your recollection, he would have dropped off that empty dumpster?",q,MS. CHARBONNEAU,start_answer
110,330,13,3,First.,a,THE WITNESS,start_question
111,331,13,4,And then repositioned the blue truck to pick up the full dumpster to the left?,q,MS. CHARBONNEAU,start_answer
112,333,13,6,Correct.,a,THE WITNESS,start_question
113,334,13,7,Take a look at this.  Do you remember seeing this when you reported to the scene?,q,MS. CHARBONNEAU,start_answer
