,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," CAROLE M. PFEFFERKORN, the witness herein, having first been duly sworn on oath, was examined and testified as follows:",,,start_question
1,81,7,6,"Ma'am, good morning.",q,MR. CHAMBERS,start_answer
2,82,7,7,Good morning.,a,THE WITNESS,start_question
3,83,7,8,"My name is Scott Chambers, and I represent Connie Richard and her husband in a case currently pending in the Superior Court.  Obviously you're here for a deposition. Have you ever given a deposition before?",q,MR. CHAMBERS,start_answer
4,90,7,15,No.,a,THE WITNESS,start_question
5,91,7,16,"It's really not that complicated. Just really a question-and-answer session. The only thing I will bring to your attention is we have a court reporter to my left, your right, who's going to be taking down verbatim the things that we talk about today. To keep her job a little easier, will you try to avoid having two of us talk at once?",q,MR. CHAMBERS,start_answer
6,102,8,2,Uh-huh.,a,THE WITNESS,start_question
7,103,8,3,"Second thing is if you could verbalize your answers instead of nodding your head and saying ""uh-huh"" like we normally do, that would be most appreciated. I don't have very many questions for you, but if at any point you need to take a break or anything, just let us know.",q,MR. CHAMBERS,start_answer
8,112,8,12,Okay.,a,THE WITNESS,start_question
9,113,8,13,You're an employee of Faw Casson?,q,MR. CHAMBERS,start_answer
10,114,8,14,Correct.,a,THE WITNESS,start_question
11,115,8,15,What do you do there?,q,MR. CHAMBERS,start_answer
12,116,8,16,I'm the receptionist.,a,THE WITNESS,start_question
13,117,8,17,How long have you been the receptionist there?,q,MR. CHAMBERS,start_answer
14,119,8,19,Nine years.,a,THE WITNESS,start_question
15,120,8,20,That means you were the receptionist at the time of this incident back on January 9th of 2018?,q,MR. CHAMBERS,start_answer
16,123,8,23,Correct.,a,THE WITNESS,start_question
17,124,8,24,"Connie Richard, I understand, is a client of Faw Casson, or was?",q,MR. CHAMBERS,start_answer
18,127,9,2,Correct.,a,THE WITNESS,start_question
19,128,9,3,Did you know her prior to January 9th?,q,MR. CHAMBERS,start_answer
20,130,9,5,Of the incident?,a,THE WITNESS,start_question
21,131,9,6,"Yes, ma'am.",q,MR. CHAMBERS,start_answer
22,132,9,7,"Yes.  As a client, yes.",a,THE WITNESS,start_question
23,133,9,8,Did you know her outside of being a client?,q,MR. CHAMBERS,start_answer
24,135,9,10,No.,a,THE WITNESS,start_question
25,136,9,11,I understand that the day this happened Faw Casson was hosting some type of a seminar on the new tax bill?,q,MR. CHAMBERS,start_answer
26,139,9,14,Correct.,a,THE WITNESS,start_question
27,140,9,15,Let me show you what's been previously marked as Anstine No. 2.,q,MR. CHAMBERS,start_answer
28,142,9,17,Okay.,a,THE WITNESS,start_question
29,143,9,18,I ask you:  Do you recognize that?,q,MR. CHAMBERS,start_answer
30,144,9,19,"I probably saw it at some point before the function, but it was two years ago, so it's not, like, coming right to recollection.  But yes, I was aware there was a function that morning.",a,THE WITNESS,start_question
31,149,9,24,We have had some testimony about this earlier. It appears that the doors were set to open at 7:30?,q,MR. CHAMBERS,start_answer
32,154,10,4,"According to this, yes.",a,THE WITNESS,start_question
33,155,10,5,And the actual event was from 8:00 to 9:00?,q,MR. CHAMBERS,start_answer
34,157,10,7,Correct.,a,THE WITNESS,start_question
35,158,10,8,It is from Tammy Ordway. Who is she?,q,MR. CHAMBERS,start_answer
36,160,10,10,She is one of the partners there that would have headed up this particular session.,a,THE WITNESS,start_question
