,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," RICKY BRAD LIBMAN, the deponent herein, having first been duly sworn on oath, was examined and testified as follows:",,,start_question
1,97,4,6,"Okay, sir, please state your full name for the record.",q,MR. FRANKEL,start_answer
2,99,4,8,"Ricky, R-I-C-K-Y, Brad, Libman, L-I, B like in boy, M-A-N.",a,THE WITNESS,start_question
3,101,4,10,"Okay.  And, obviously, you are in some law enforcement capacity now. What is that -- what job do you have now?",q,MR. FRANKEL,start_answer
4,105,4,14,"It's court security in the State of Delaware, for the State of Delaware.",a,THE WITNESS,start_question
5,107,4,16,"Okay.  Previously, you were with the Broward Sheriff's Office; is that right?",q,MR. FRANKEL,start_answer
6,109,4,18,That's correct.,a,THE WITNESS,start_question
7,110,4,19,For how many years?,q,MR. FRANKEL,start_answer
8,111,4,20,Thirty-four.,a,THE WITNESS,start_question
9,112,4,21,How many years in homicide?,q,MR. FRANKEL,start_answer
10,113,4,22,About 17.,a,THE WITNESS,start_question
11,114,4,23,And you were the first homicide detective assigned to the murder of CJ -- of Christopher Jordan -- I'm sorry -- is that correct?,q,MR. FRANKEL,start_answer
12,119,5,3,"Yes, that's correct.",a,THE WITNESS,start_question
13,120,5,4,Can you tell me just if you have your report in front of you?,q,MR. FRANKEL,start_answer
14,122,5,6,I have the report I authored and the copy of the arrest affidavit that Curcio authored that includes this case. And I think I have one crime scene report from Williams.,a,THE WITNESS,start_question
15,127,5,11,Do you have a copy of the warrant affidavit that you prepared for the arrest of Arvis Brown on the possession of firearm by convicted felon?,q,MR. FRANKEL,start_answer
16,131,5,15,"Yes, I do.",a,THE WITNESS,start_question
17,132,5,16,Okay.,q,MR. FRANKEL,start_answer
18,133,5,17,"Yeah, I have that.  This one; right? Yeah, I have it.",a,THE WITNESS,start_question
19,135,5,19,"Okay.  All right.  So, generally -- and I certainly don't mind you referring to your reports and affidavits -- when did you first get involved in this case?",q,MR. FRANKEL,start_answer
20,139,5,23,"December 25, 2016 about 8:45 p.m. I was contacted by the Sergeant Champagne, the supervisor of the Homicide Unit. And I was notified that there was a deceased black male in Dania Beach, possible -- well, most likely a homicide.",a,THE WITNESS,start_question
21,146,6,5,Okay.  And this supposedly had taken place in the early part of the evening around 8:00?,q,MR. FRANKEL,start_answer
